estacion_id,estacion_nombre,sensor_id,sensor_alias,sensor_nombre,fecha_observacion,metrica,valor
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-14,total,
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-14,media,3.302098
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-14,minimo,1.277
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-14,maximo,4.958
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-15,total,
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-15,media,3.280368
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-15,minimo,1.798
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-15,maximo,5.585
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-16,total,
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-16,media,1.9442639
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-16,minimo,0.239
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-16,maximo,5.137
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-17,total,
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-17,media,3.4319513
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-17,minimo,0.548
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-17,maximo,7.182
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-18,total,
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-18,media,4.1208544
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-18,minimo,1.319
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-18,maximo,8.7
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-19,total,
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-19,media,5.290993
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-19,minimo,1.183
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-19,maximo,9.76
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-20,total,
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-20,media,1.8686666
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-20,minimo,0.299
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-20,maximo,4.206
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-21,total,
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-21,media,2.9634583
212,Ecomuseo,1422,WSP,Velocidad del viento,2026-04-21,minimo,0.617
